id,Geographic Area Name,pop,nhw,pc,state,year,county
0500000US19079,"Hamilton County, Iowa",15110,13495,89.3, Iowa,2019,Hamilton County
0500000US19081,"Hancock County, Iowa",10888,10179,93.5, Iowa,2019,Hancock County
0500000US19083,"Hardin County, Iowa",17127,15764,92, Iowa,2019,Hardin County
0500000US19085,"Harrison County, Iowa",14143,13628,96.4, Iowa,2019,Harrison County
0500000US19087,"Henry County, Iowa",19926,17585,88.3, Iowa,2019,Henry County
0500000US19089,"Howard County, Iowa",9264,8953,96.6, Iowa,2019,Howard County
0500000US19091,"Humboldt County, Iowa",9566,8961,93.7, Iowa,2019,Humboldt County
0500000US19093,"Ida County, Iowa",6916,6621,95.7, Iowa,2019,Ida County
0500000US19095,"Iowa County, Iowa",16207,15450,95.3, Iowa,2019,Iowa County
0500000US19097,"Jackson County, Iowa",19395,18537,95.6, Iowa,2019,Jackson County
0500000US19099,"Jasper County, Iowa",36891,34614,93.8, Iowa,2019,Jasper County
0500000US19101,"Jefferson County, Iowa",18077,14591,80.7, Iowa,2019,Jefferson County
0500000US19103,"Johnson County, Iowa",147001,115842,78.8, Iowa,2019,Johnson County
0500000US19105,"Jones County, Iowa",20568,19304,93.9, Iowa,2019,Jones County
0500000US19107,"Keokuk County, Iowa",10200,9855,96.6, Iowa,2019,Keokuk County
0500000US19109,"Kossuth County, Iowa",15075,14339,95.1, Iowa,2019,Kossuth County
0500000US19111,"Lee County, Iowa",34541,31395,90.9, Iowa,2019,Lee County
0500000US19113,"Linn County, Iowa",222121,191906,86.4, Iowa,2019,Linn County
0500000US19115,"Louisa County, Iowa",11223,8771,78.2, Iowa,2019,Louisa County
0500000US19117,"Lucas County, Iowa",8597,8408,97.8, Iowa,2019,Lucas County
0500000US19119,"Lyon County, Iowa",11769,11277,95.8, Iowa,2019,Lyon County
0500000US19121,"Madison County, Iowa",15890,15174,95.5, Iowa,2019,Madison County
0500000US19123,"Mahaska County, Iowa",22208,20757,93.5, Iowa,2019,Mahaska County
0500000US19125,"Marion County, Iowa",33207,31445,94.7, Iowa,2019,Marion County
0500000US19127,"Marshall County, Iowa",40271,28874,71.7, Iowa,2019,Marshall County
0500000US19129,"Mills County, Iowa",14957,14105,94.3, Iowa,2019,Mills County
0500000US19131,"Mitchell County, Iowa",10631,10280,96.7, Iowa,2019,Mitchell County
0500000US19133,"Monona County, Iowa",8796,8346,94.9, Iowa,2019,Monona County
0500000US19135,"Monroe County, Iowa",7863,7352,93.5, Iowa,2019,Monroe County
0500000US19137,"Montgomery County, Iowa",10155,9533,93.9, Iowa,2019,Montgomery County
0500000US19139,"Muscatine County, Iowa",42950,33158,77.2, Iowa,2019,Muscatine County
0500000US19141,"O'Brien County, Iowa",13911,12907,92.8, Iowa,2019,O'Brien County
0500000US19143,"Osceola County, Iowa",6115,5477,89.6, Iowa,2019,Osceola County
0500000US19145,"Page County, Iowa",15363,14020,91.3, Iowa,2019,Page County
0500000US19147,"Palo Alto County, Iowa",9055,8494,93.8, Iowa,2019,Palo Alto County
0500000US19149,"Plymouth County, Iowa",25039,23090,92.2, Iowa,2019,Plymouth County
0500000US19151,"Pocahontas County, Iowa",6898,6429,93.2, Iowa,2019,Pocahontas County
0500000US19153,"Polk County, Iowa",474274,370282,78.1, Iowa,2019,Polk County
0500000US19155,"Pottawattamie County, Iowa",93503,82251,88, Iowa,2019,Pottawattamie County
0500000US19157,"Poweshiek County, Iowa",18605,17040,91.6, Iowa,2019,Poweshiek County
0500000US19159,"Ringgold County, Iowa",4984,4767,95.6, Iowa,2019,Ringgold County
0500000US19161,"Sac County, Iowa",9868,9399,95.2, Iowa,2019,Sac County
0500000US19163,"Scott County, Iowa",172288,138243,80.2, Iowa,2019,Scott County
0500000US19165,"Shelby County, Iowa",11694,11089,94.8, Iowa,2019,Shelby County
0500000US19167,"Sioux County, Iowa",34825,30340,87.1, Iowa,2019,Sioux County
0500000US19169,"Story County, Iowa",96922,81476,84.1, Iowa,2019,Story County
0500000US19171,"Tama County, Iowa",17136,13960,81.5, Iowa,2019,Tama County
0500000US19173,"Taylor County, Iowa",6201,5596,90.2, Iowa,2019,Taylor County
0500000US19175,"Union County, Iowa",12453,11730,94.2, Iowa,2019,Union County
0500000US19177,"Van Buren County, Iowa",7223,6976,96.6, Iowa,2019,Van Buren County
0500000US19179,"Wapello County, Iowa",35315,29257,82.8, Iowa,2019,Wapello County
0500000US19181,"Warren County, Iowa",49361,46635,94.5, Iowa,2019,Warren County
0500000US19183,"Washington County, Iowa",22143,20198,91.2, Iowa,2019,Washington County
0500000US19185,"Wayne County, Iowa",6413,6171,96.2, Iowa,2019,Wayne County
0500000US19187,"Webster County, Iowa",36757,32224,87.7, Iowa,2019,Webster County
0500000US19189,"Winnebago County, Iowa",10571,9708,91.8, Iowa,2019,Winnebago County
0500000US19191,"Winneshiek County, Iowa",20401,19415,95.2, Iowa,2019,Winneshiek County
0500000US19193,"Woodbury County, Iowa",102398,75673,73.9, Iowa,2019,Woodbury County
0500000US19195,"Worth County, Iowa",7489,7070,94.4, Iowa,2019,Worth County
0500000US19197,"Wright County, Iowa",12804,11026,86.1, Iowa,2019,Wright County
0500000US41001,"Baker County, Oregon",15984,14515,90.8, Oregon,2019,Baker County
0500000US41003,"Benton County, Oregon",89780,72347,80.6, Oregon,2019,Benton County
0500000US41005,"Clackamas County, Oregon",405788,334006,82.3, Oregon,2019,Clackamas County
0500000US41007,"Clatsop County, Oregon",38562,33048,85.7, Oregon,2019,Clatsop County
0500000US41009,"Columbia County, Oregon",50851,45157,88.8, Oregon,2019,Columbia County
0500000US41011,"Coos County, Oregon",63308,54038,85.4, Oregon,2019,Coos County
0500000US41013,"Crook County, Oregon",22337,19719,88.3, Oregon,2019,Crook County
0500000US41015,"Curry County, Oregon",22507,19467,86.5, Oregon,2019,Curry County
0500000US41017,"Deschutes County, Oregon",180640,158096,87.5, Oregon,2019,Deschutes County
0500000US41019,"Douglas County, Oregon",108323,95400,88.1, Oregon,2019,Douglas County
0500000US41021,"Gilliam County, Oregon",1907,1677,87.9, Oregon,2019,Gilliam County
0500000US41023,"Grant County, Oregon",7183,6578,91.6, Oregon,2019,Grant County
0500000US41025,"Harney County, Oregon",7228,6257,86.6, Oregon,2019,Harney County
0500000US41027,"Hood River County, Oregon",23131,14764,63.8, Oregon,2019,Hood River County
0500000US41029,"Jackson County, Oregon",214267,174091,81.2, Oregon,2019,Jackson County
0500000US41031,"Jefferson County, Oregon",23143,13934,60.2, Oregon,2019,Jefferson County
0500000US41033,"Josephine County, Oregon",85481,74478,87.1, Oregon,2019,Josephine County
0500000US41035,"Klamath County, Oregon",66310,51964,78.4, Oregon,2019,Klamath County
0500000US41037,"Lake County, Oregon",7843,6644,84.7, Oregon,2019,Lake County
0500000US41039,"Lane County, Oregon",368882,302936,82.1, Oregon,2019,Lane County
0500000US41041,"Lincoln County, Oregon",47881,39563,82.6, Oregon,2019,Lincoln County
0500000US41043,"Linn County, Oregon",122870,104885,85.4, Oregon,2019,Linn County
0500000US41045,"Malheur County, Oregon",30431,18699,61.4, Oregon,2019,Malheur County
0500000US41047,"Marion County, Oregon",335553,220808,65.8, Oregon,2019,Marion County
0500000US41049,"Morrow County, Oregon",11215,6714,59.9, Oregon,2019,Morrow County
0500000US41051,"Multnomah County, Oregon",798647,558805,70, Oregon,2019,Multnomah County
0500000US41053,"Polk County, Oregon",81427,63876,78.4, Oregon,2019,Polk County
0500000US41055,"Sherman County, Oregon",1605,1474,91.8, Oregon,2019,Sherman County
0500000US41057,"Tillamook County, Oregon",26076,22025,84.5, Oregon,2019,Tillamook County
0500000US41059,"Umatilla County, Oregon",76898,51079,66.4, Oregon,2019,Umatilla County
0500000US41061,"Union County, Oregon",26028,23161,89, Oregon,2019,Union County
0500000US41063,"Wallowa County, Oregon",6924,6449,93.1, Oregon,2019,Wallowa County
0500000US41065,"Wasco County, Oregon",25866,19408,75, Oregon,2019,Wasco County
0500000US41067,"Washington County, Oregon",581821,385997,66.3, Oregon,2019,Washington County
0500000US41069,"Wheeler County, Oregon",1426,1215,85.2, Oregon,2019,Wheeler County
0500000US41071,"Yamhill County, Oregon",103820,80283,77.3, Oregon,2019,Yamhill County
0500000US51001,"Accomack County, Virginia",32742,19691,60.1, Virginia,2019,Accomack County
0500000US51003,"Albemarle County, Virginia",106355,81835,76.9, Virginia,2019,Albemarle County
0500000US51005,"Alleghany County, Virginia",15286,13992,91.5, Virginia,2019,Alleghany County
0500000US51007,"Amelia County, Virginia",12854,9426,73.3, Virginia,2019,Amelia County
0500000US51009,"Amherst County, Virginia",31882,23951,75.1, Virginia,2019,Amherst County
0500000US51011,"Appomattox County, Virginia",15577,11945,76.7, Virginia,2019,Appomattox County
0500000US51013,"Arlington County, Virginia",231803,143154,61.8, Virginia,2019,Arlington County
0500000US51015,"Augusta County, Virginia",74701,68097,91.2, Virginia,2019,Augusta County
0500000US51017,"Bath County, Virginia",4393,4033,91.8, Virginia,2019,Bath County
0500000US51019,"Bedford County, Virginia",77908,68486,87.9, Virginia,2019,Bedford County
0500000US51021,"Bland County, Virginia",6447,6211,96.3, Virginia,2019,Bland County
0500000US51023,"Botetourt County, Virginia",33222,30848,92.9, Virginia,2019,Botetourt County
0500000US51025,"Brunswick County, Virginia",16665,6780,40.7, Virginia,2019,Brunswick County
0500000US51027,"Buchanan County, Virginia",22138,21059,95.1, Virginia,2019,Buchanan County
0500000US51029,"Buckingham County, Virginia",17004,10396,61.1, Virginia,2019,Buckingham County
0500000US51031,"Campbell County, Virginia",55170,44142,80, Virginia,2019,Campbell County
0500000US51033,"Caroline County, Virginia",30184,19163,63.5, Virginia,2019,Caroline County
0500000US51035,"Carroll County, Virginia",29738,28174,94.7, Virginia,2019,Carroll County
0500000US51036,"Charles City County, Virginia",6995,2925,41.8, Virginia,2019,Charles City County
0500000US51037,"Charlotte County, Virginia",12095,8189,67.7, Virginia,2019,Charlotte County
0500000US51041,"Chesterfield County, Virginia",339447,211628,62.3, Virginia,2019,Chesterfield County
0500000US51043,"Clarke County, Virginia",14365,12427,86.5, Virginia,2019,Clarke County
0500000US51045,"Craig County, Virginia",5113,5092,99.6, Virginia,2019,Craig County
0500000US51047,"Culpeper County, Virginia",50450,35647,70.7, Virginia,2019,Culpeper County
0500000US51049,"Cumberland County, Virginia",9786,6193,63.3, Virginia,2019,Cumberland County
0500000US51051,"Dickenson County, Virginia",14960,14612,97.7, Virginia,2019,Dickenson County
0500000US51053,"Dinwiddie County, Virginia",28308,17498,61.8, Virginia,2019,Dinwiddie County
0500000US51057,"Essex County, Virginia",11036,6049,54.8, Virginia,2019,Essex County
0500000US51059,"Fairfax County, Virginia",1143529,585961,51.2, Virginia,2019,Fairfax County
0500000US51061,"Fauquier County, Virginia",69115,55571,80.4, Virginia,2019,Fauquier County
0500000US51063,"Floyd County, Virginia",15666,14625,93.4, Virginia,2019,Floyd County
0500000US51065,"Fluvanna County, Virginia",26282,20631,78.5, Virginia,2019,Fluvanna County
0500000US51067,"Franklin County, Virginia",56233,48923,87, Virginia,2019,Franklin County
0500000US51069,"Frederick County, Virginia",85153,71448,83.9, Virginia,2019,Frederick County
0500000US51071,"Giles County, Virginia",16814,15968,95, Virginia,2019,Giles County
0500000US51073,"Gloucester County, Virginia",37161,31556,84.9, Virginia,2019,Gloucester County
0500000US51075,"Goochland County, Virginia",22482,17458,77.7, Virginia,2019,Goochland County
0500000US51077,"Grayson County, Virginia",15811,14221,89.9, Virginia,2019,Grayson County
0500000US51079,"Greene County, Virginia",19410,16069,82.8, Virginia,2019,Greene County
0500000US51081,"Greensville County, Virginia",11659,4286,36.8, Virginia,2019,Greensville County
0500000US51083,"Halifax County, Virginia",34779,20776,59.7, Virginia,2019,Halifax County
0500000US51085,"Hanover County, Virginia",104449,87880,84.1, Virginia,2019,Hanover County
0500000US51087,"Henrico County, Virginia",325642,174734,53.7, Virginia,2019,Henrico County
0500000US51089,"Henry County, Virginia",51588,36240,70.2, Virginia,2019,Henry County
0500000US51091,"Highland County, Virginia",2214,2203,99.5, Virginia,2019,Highland County
0500000US51093,"Isle of Wight County, Virginia",36372,25742,70.8, Virginia,2019,Isle of Wight County
0500000US51095,"James City County, Virginia",74153,56209,75.8, Virginia,2019,James City County
0500000US51097,"King and Queen County, Virginia",7052,4655,66, Virginia,2019,King and Queen County
0500000US51099,"King George County, Virginia",25890,19069,73.7, Virginia,2019,King George County
0500000US51101,"King William County, Virginia",16497,12573,76.2, Virginia,2019,King William County
0500000US51103,"Lancaster County, Virginia",10804,7319,67.7, Virginia,2019,Lancaster County
0500000US51105,"Lee County, Virginia",24134,22410,92.9, Virginia,2019,Lee County
0500000US51107,"Loudoun County, Virginia",385143,218954,56.9, Virginia,2019,Loudoun County
0500000US51109,"Louisa County, Virginia",35380,27338,77.3, Virginia,2019,Louisa County
0500000US51111,"Lunenburg County, Virginia",12278,7343,59.8, Virginia,2019,Lunenburg County
0500000US51113,"Madison County, Virginia",13139,11140,84.8, Virginia,2019,Madison County
0500000US51115,"Mathews County, Virginia",8796,7534,85.7, Virginia,2019,Mathews County
0500000US51117,"Mecklenburg County, Virginia",30847,18546,60.1, Virginia,2019,Mecklenburg County
0500000US51119,"Middlesex County, Virginia",10700,8286,77.4, Virginia,2019,Middlesex County
0500000US51121,"Montgomery County, Virginia",97997,81916,83.6, Virginia,2019,Montgomery County
0500000US51125,"Nelson County, Virginia",14812,12087,81.6, Virginia,2019,Nelson County
0500000US51127,"New Kent County, Virginia",21103,16736,79.3, Virginia,2019,New Kent County
0500000US51131,"Northampton County, Virginia",11957,6469,54.1, Virginia,2019,Northampton County
0500000US51133,"Northumberland County, Virginia",12223,8526,69.8, Virginia,2019,Northumberland County
0500000US51135,"Nottoway County, Virginia",15500,8442,54.5, Virginia,2019,Nottoway County
0500000US51137,"Orange County, Virginia",35612,27944,78.5, Virginia,2019,Orange County
0500000US51139,"Page County, Virginia",23749,22380,94.2, Virginia,2019,Page County
0500000US51141,"Patrick County, Virginia",17859,16026,89.7, Virginia,2019,Patrick County
0500000US51143,"Pittsylvania County, Virginia",61676,45710,74.1, Virginia,2019,Pittsylvania County
0500000US51145,"Powhatan County, Virginia",28574,24339,85.2, Virginia,2019,Powhatan County
0500000US51147,"Prince Edward County, Virginia",22956,14161,61.7, Virginia,2019,Prince Edward County
0500000US51149,"Prince George County, Virginia",37894,20903,55.2, Virginia,2019,Prince George County
0500000US51153,"Prince William County, Virginia",456749,199529,43.7, Virginia,2019,Prince William County
0500000US51155,"Pulaski County, Virginia",34234,31097,90.8, Virginia,2019,Pulaski County
0500000US51157,"Rappahannock County, Virginia",7332,6532,89.1, Virginia,2019,Rappahannock County
0500000US51159,"Richmond County, Virginia",8878,5399,60.8, Virginia,2019,Richmond County
0500000US51161,"Roanoke County, Virginia",93583,80644,86.2, Virginia,2019,Roanoke County
0500000US51163,"Rockbridge County, Virginia",22509,20839,92.6, Virginia,2019,Rockbridge County
0500000US51165,"Rockingham County, Virginia",79444,70771,89.1, Virginia,2019,Rockingham County
0500000US51167,"Russell County, Virginia",27408,26529,96.8, Virginia,2019,Russell County
0500000US51169,"Scott County, Virginia",22009,21291,96.7, Virginia,2019,Scott County
0500000US51171,"Shenandoah County, Virginia",43045,37872,88, Virginia,2019,Shenandoah County
0500000US51173,"Smyth County, Virginia",31059,29243,94.2, Virginia,2019,Smyth County
0500000US51175,"Southampton County, Virginia",17939,10934,61, Virginia,2019,Southampton County
0500000US51177,"Spotsylvania County, Virginia",131412,90393,68.8, Virginia,2019,Spotsylvania County
0500000US51179,"Stafford County, Virginia",144012,90152,62.6, Virginia,2019,Stafford County
0500000US51181,"Surry County, Virginia",6600,3457,52.4, Virginia,2019,Surry County
0500000US51183,"Sussex County, Virginia",11486,4392,38.2, Virginia,2019,Sussex County
0500000US51185,"Tazewell County, Virginia",42080,39524,93.9, Virginia,2019,Tazewell County
0500000US51187,"Warren County, Virginia",39449,34371,87.1, Virginia,2019,Warren County
0500000US51191,"Washington County, Virginia",54406,51854,95.3, Virginia,2019,Washington County
0500000US51193,"Westmoreland County, Virginia",17638,11275,63.9, Virginia,2019,Westmoreland County
0500000US51195,"Wise County, Virginia",39025,35744,91.6, Virginia,2019,Wise County
0500000US51197,"Wythe County, Virginia",28940,27172,93.9, Virginia,2019,Wythe County
0500000US51199,"York County, Virginia",67587,48240,71.4, Virginia,2019,York County
0500000US51510,"Alexandria city, Virginia",156505,81050,51.8, Virginia,2019,Alexandria city
0500000US51515,"Bedford city, Virginia",6177,4500,72.9, Virginia,2019,Bedford city
0500000US51520,"Bristol city, Virginia",16843,14702,87.3, Virginia,2019,Bristol city
0500000US51530,"Buena Vista city, Virginia",6399,5634,88, Virginia,2019,Buena Vista city
0500000US51540,"Charlottesville city, Virginia",47042,30923,65.7, Virginia,2019,Charlottesville city
0500000US51550,"Chesapeake city, Virginia",237820,137582,57.9, Virginia,2019,Chesapeake city
0500000US51570,"Colonial Heights city, Virginia",17593,12861,73.1, Virginia,2019,Colonial Heights city
0500000US51580,"Covington city, Virginia",5582,4533,81.2, Virginia,2019,Covington city
0500000US51590,"Danville city, Virginia",41512,17864,43, Virginia,2019,Danville city
0500000US51595,"Emporia city, Virginia",5381,1210,22.5, Virginia,2019,Emporia city
0500000US51600,"Fairfax city, Virginia",23865,13552,56.8, Virginia,2019,Fairfax city
0500000US51610,"Falls Church city, Virginia",14067,10093,71.7, Virginia,2019,Falls Church city
0500000US51620,"Franklin city, Virginia",8211,3049,37.1, Virginia,2019,Franklin city
0500000US51630,"Fredericksburg city, Virginia",28469,17014,59.8, Virginia,2019,Fredericksburg city
0500000US51640,"Galax city, Virginia",6638,4999,75.3, Virginia,2019,Galax city
0500000US51650,"Hampton city, Virginia",135583,52397,38.6, Virginia,2019,Hampton city
0500000US51660,"Harrisonburg city, Virginia",53391,35552,66.6, Virginia,2019,Harrisonburg city
0500000US51670,"Hopewell city, Virginia",22408,10682,47.7, Virginia,2019,Hopewell city
0500000US51678,"Lexington city, Virginia",7110,5838,82.1, Virginia,2019,Lexington city
0500000US51680,"Lynchburg city, Virginia",80131,49944,62.3, Virginia,2019,Lynchburg city
0500000US51683,"Manassas city, Virginia",41457,17325,41.8, Virginia,2019,Manassas city
0500000US51685,"Manassas Park city, Virginia",16423,5676,34.6, Virginia,2019,Manassas Park city
0500000US51690,"Martinsville city, Virginia",13101,5935,45.3, Virginia,2019,Martinsville city
0500000US51700,"Newport News city, Virginia",180145,78214,43.4, Virginia,2019,Newport News city
0500000US51710,"Norfolk city, Virginia",245592,106733,43.5, Virginia,2019,Norfolk city
0500000US51720,"Norton city, Virginia",3990,3554,89.1, Virginia,2019,Norton city
0500000US51730,"Petersburg city, Virginia",31827,4780,15, Virginia,2019,Petersburg city
0500000US51735,"Poquoson city, Virginia",12039,11066,91.9, Virginia,2019,Poquoson city
0500000US51740,"Portsmouth city, Virginia",95311,36177,38, Virginia,2019,Portsmouth city
0500000US51750,"Radford city, Virginia",17630,14640,83, Virginia,2019,Radford city
0500000US51760,"Richmond city, Virginia",223787,90339,40.4, Virginia,2019,Richmond city
0500000US51770,"Roanoke city, Virginia",99621,58808,59, Virginia,2019,Roanoke city
0500000US51775,"Salem city, Virginia",25519,21775,85.3, Virginia,2019,Salem city
0500000US51790,"Staunton city, Virginia",24452,19822,81.1, Virginia,2019,Staunton city
0500000US51800,"Suffolk city, Virginia",89160,44134,49.5, Virginia,2019,Suffolk city
0500000US51810,"Virginia Beach city, Virginia",450135,279288,62, Virginia,2019,Virginia Beach city
0500000US51820,"Waynesboro city, Virginia",21926,16660,76, Virginia,2019,Waynesboro city
0500000US51830,"Williamsburg city, Virginia",14788,10060,68, Virginia,2019,Williamsburg city
0500000US51840,"Winchester city, Virginia",27789,18442,66.4, Virginia,2019,Winchester city
0500000US19001,"Adair County, Iowa",7779,7595,97.6, Iowa,2010,Adair County
0500000US19003,"Adams County, Iowa",4127,3992,96.7, Iowa,2010,Adams County
0500000US19005,"Allamakee County, Iowa",14331,13527,94.4, Iowa,2010,Allamakee County
0500000US19007,"Appanoose County, Iowa",13029,12620,96.9, Iowa,2010,Appanoose County
0500000US19009,"Audubon County, Iowa",6186,6064,98, Iowa,2010,Audubon County
0500000US19011,"Benton County, Iowa",26098,25350,97.1, Iowa,2010,Benton County
0500000US19013,"Black Hawk County, Iowa",129252,109285,84.6, Iowa,2010,Black Hawk County
0500000US19015,"Boone County, Iowa",26424,25418,96.2, Iowa,2010,Boone County
0500000US19017,"Bremer County, Iowa",24185,23419,96.8, Iowa,2010,Bremer County
0500000US19019,"Buchanan County, Iowa",21026,20420,97.1, Iowa,2010,Buchanan County
0500000US19021,"Buena Vista County, Iowa",19980,14042,70.3, Iowa,2010,Buena Vista County
0500000US19023,"Butler County, Iowa",14892,14580,97.9, Iowa,2010,Butler County
0500000US19025,"Calhoun County, Iowa",9846,9475,96.2, Iowa,2010,Calhoun County
0500000US19027,"Carroll County, Iowa",20805,20147,96.8, Iowa,2010,Carroll County
0500000US19029,"Cass County, Iowa",13969,13535,96.9, Iowa,2010,Cass County
0500000US19031,"Cedar County, Iowa",18414,17840,96.9, Iowa,2010,Cedar County
0500000US19033,"Cerro Gordo County, Iowa",44324,41069,92.7, Iowa,2010,Cerro Gordo County
0500000US19035,"Cherokee County, Iowa",12086,11585,95.9, Iowa,2010,Cherokee County
0500000US19037,"Chickasaw County, Iowa",12499,12136,97.1, Iowa,2010,Chickasaw County
0500000US19039,"Clarke County, Iowa",9218,8242,89.4, Iowa,2010,Clarke County
0500000US19041,"Clay County, Iowa",16718,15924,95.3, Iowa,2010,Clay County
0500000US19043,"Clayton County, Iowa",18202,17615,96.8, Iowa,2010,Clayton County
0500000US19045,"Clinton County, Iowa",49274,45829,93, Iowa,2010,Clinton County
0500000US19047,"Crawford County, Iowa",16951,13177,77.7, Iowa,2010,Crawford County
0500000US19049,"Dallas County, Iowa",61714,55054,89.2, Iowa,2010,Dallas County
0500000US19051,"Davis County, Iowa",8687,8636,99.4, Iowa,2010,Davis County
0500000US19053,"Decatur County, Iowa",8508,8020,94.3, Iowa,2010,Decatur County
0500000US19055,"Delaware County, Iowa",17857,17518,98.1, Iowa,2010,Delaware County
0500000US19057,"Des Moines County, Iowa",40266,36204,89.9, Iowa,2010,Des Moines County
0500000US19059,"Dickinson County, Iowa",16665,16267,97.6, Iowa,2010,Dickinson County
0500000US19061,"Dubuque County, Iowa",92547,86583,93.6, Iowa,2010,Dubuque County
0500000US19063,"Emmet County, Iowa",10389,9457,91, Iowa,2010,Emmet County
0500000US19065,"Fayette County, Iowa",20992,20141,95.9, Iowa,2010,Fayette County
0500000US19067,"Floyd County, Iowa",16394,15577,95, Iowa,2010,Floyd County
0500000US19069,"Franklin County, Iowa",10697,9407,87.9, Iowa,2010,Franklin County
0500000US19071,"Fremont County, Iowa",7528,7207,95.7, Iowa,2010,Fremont County
0500000US19073,"Greene County, Iowa",9448,9271,98.1, Iowa,2010,Greene County
0500000US19075,"Grundy County, Iowa",12401,12146,97.9, Iowa,2010,Grundy County
0500000US19077,"Guthrie County, Iowa",11040,10687,96.8, Iowa,2010,Guthrie County
0500000US19079,"Hamilton County, Iowa",15874,14667,92.4, Iowa,2010,Hamilton County
0500000US19081,"Hancock County, Iowa",11505,10924,95, Iowa,2010,Hancock County
0500000US19083,"Hardin County, Iowa",17685,16626,94, Iowa,2010,Hardin County
0500000US19085,"Harrison County, Iowa",15073,14690,97.5, Iowa,2010,Harrison County
0500000US19087,"Henry County, Iowa",20263,18371,90.7, Iowa,2010,Henry County
0500000US19089,"Howard County, Iowa",9610,9367,97.5, Iowa,2010,Howard County
0500000US19091,"Humboldt County, Iowa",9905,9417,95.1, Iowa,2010,Humboldt County
0500000US19093,"Ida County, Iowa",7172,6974,97.2, Iowa,2010,Ida County
0500000US19095,"Iowa County, Iowa",16353,15853,96.9, Iowa,2010,Iowa County
0500000US19097,"Jackson County, Iowa",19942,19377,97.2, Iowa,2010,Jackson County
0500000US19099,"Jasper County, Iowa",37050,35528,95.9, Iowa,2010,Jasper County
0500000US19101,"Jefferson County, Iowa",16643,14612,87.8, Iowa,2010,Jefferson County
0500000US19103,"Johnson County, Iowa",126994,106995,84.3, Iowa,2010,Johnson County
0500000US19105,"Jones County, Iowa",20708,19768,95.5, Iowa,2010,Jones County
